Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
stoneware-dinner-plates,Stoneware Dinner Plates,<p>Set of 4 handmade stoneware plates</p>,Kiln Goods,Indoor,"Plates, Stoneware, Dining",True,Title,Default Title,,,,,,0,,8,deny,manual,60.0,75.0,True,True,,https://burst.shopifycdn.com/photos/potted-seeds_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
glazed-ceramic-bowl,Glazed Ceramic Bowl,<p>Deep blue glazed ceramic serving bowl</p>,Kiln Goods,Indoor,"Bowl, Ceramic, Kitchen",True,Title,Default Title,,,,,,0,,12,deny,manual,30.0,,True,True,,https://burst.shopifycdn.com/photos/pot-with-a-single-sprout_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
porcelain-teapot,Porcelain Teapot,<p>Elegant white porcelain teapot</p>,Kiln Goods,Indoor,"Teapot, Porcelain, Kitchen",True,Title,Default Title,,,,,,0,,4,deny,manual,55.0,,True,True,,https://burst.shopifycdn.com/photos/flowers-in-yellow-watering-can_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
succulent-pot-assortment,Succulent Pot Assortment,<p>Mini ceramic pots for succulents</p>,Kiln Goods,Indoor,"Pot, Succulent, Ceramic",True,Title,Default Title,,,,,,0,,20,deny,manual,25.0,,True,True,,https://burst.shopifycdn.com/photos/house-plant-on-wooden-slat-wall_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
rustic-earthenware-jug,Rustic Earthenware Jug,<p>Large decorative earthenware jug</p>,Kiln Goods,Indoor,"Jug, Earthenware, Decor",True,Title,Default Title,,,,,,0,,3,deny,manual,65.0,,True,True,,https://burst.shopifycdn.com/photos/cafe-patio_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
clay-soap-dish,Handmade Clay Soap Dish,<p>Textured handmade clay soap dish</p>,Kiln Goods,Indoor,"Soap, Dish, Clay",True,Title,Default Title,,,,,,0,,14,deny,manual,15.0,,True,True,,https://burst.shopifycdn.com/photos/handmade-soap_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
ceramic-match-holder,Ceramic Match Holder,<p>Small ceramic match holder with striker</p>,Kiln Goods,Indoor,"Match, Ceramic, Decor",True,Title,Default Title,,,,,,0,,22,deny,manual,12.5,,True,True,,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
fired-earth-incense-burner,Fired Earth Incense Burner,<p>Minimalist fired earth incense holder</p>,Kiln Goods,Indoor,"Incense, Earth, Decor",True,Title,Default Title,,,,,,0,,8,deny,manual,18.0,24.0,True,True,,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
hand-painted-ceramic-tile,Hand-painted Ceramic Tile,<p>Decorative hand-painted ceramic tile</p>,Kiln Goods,Indoor,"Tile, Ceramic, Decor",True,Title,Default Title,,,,,,0,,30,deny,manual,10.0,,True,True,,https://burst.shopifycdn.com/photos/handmade-soap_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
sculptural-clay-bookends,Sculptural Clay Bookends,<p>Pair of modern sculptural clay bookends</p>,Kiln Goods,Indoor,"Bookends, Clay, Decor",True,Title,Default Title,,,,,,0,,6,deny,manual,42.0,,True,True,,https://burst.shopifycdn.com/photos/dark-wall-bedside-table_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
artisan-pottery-butter-dish,Artisan Pottery Butter Dish,<p>Glazed artisan pottery butter dish with lid</p>,Kiln Goods,Indoor,"Butter, Dish, Pottery",True,Title,Default Title,,,,,,0,,11,deny,manual,28.0,,True,True,,https://burst.shopifycdn.com/photos/handmade-soap_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
